,卡名,年費,國內消費現金回饋,國內消費現金回饋備註,國外消費現金回饋,國外消費現金回饋備註,分期零利率,分期零利率回饋備註,最低可分期金額,最低可分期金額備註,加油現金回饋,加油現金回饋備註,加油優惠,加油優惠備註,國內哩程累積,國內哩程累積備註,國外哩程累積,國外哩程累積備註,首刷里程回饋,首刷里程回饋備註,首刷(類)現金回饋,國首刷(類)現金回饋備註,週末電影折扣,週末電影折扣備註,平日電影折扣,平日電影折扣備註,,數位通路回饋上限,數位通路回饋上限備註,網購回饋,網購回饋備註
45,華南銀行 旅鑽商務御璽卡,"NT$2,400 ",1.80%,於國內消費達門檻，最高享1.2%回饋,1.20%,於國外消費達門檻，最高1.8%回饋,,,,,,,,,,,,,,,,,,,,,,,,,
46,日盛銀行 商務御璽卡,"NT$2,000 ",1.80%,於國內消費,0.60%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
47,新光銀行 新光三越聯名卡,首年免年費,1.80%,於國內消費,0%, ,,,,,,,,,,,,,,,,,,,,,,,,,
48,國泰世華 享購鈦金卡,首年免年費,1.70%,"一般消費均享0.5%回饋，消費達NT$3,000~NT$7,999享額外加碼0.2%(即回饋0.7%)，達NT$8,000以上享額外加碼0.5%，即最高1%現金回饋",1%,無級距門檻，無回饋上限,,,,,,,,,,,,,,,,,,,,,,,,,
49,永豐銀行 無限卡,"NT$20,000 ",1.68%,於國內消費,0.68%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
50,王道銀行 公益認同卡,首年免年費,1.60%,達門檻於國內消費現金回饋,1.10%,達門檻於國外消費現金回饋,,,,,,,,,,,,,,,,,,,,,,,,,
51,台新銀行 台新街口聯名卡,首年免年費,1.50%,綁定街口支付不限通路最高回饋,6%,一般消費(非街口支付掃碼),,,,,,,,,,,,,,,,,,,,,,,,,
52,台灣樂天 樂天信用卡,NT$0 ,1.50%,樂天饗宴活動期間餐廳最高6%,6%,於日本消費手續費最高回饋1.5%,,,,,,,,,,,,,,,,,,,,,,,,,
53,聯邦銀行 幸福御守御璽卡,"NT$2,000 ",1.50%,偶數日活動登錄成功，ㄧ般消費享0.5%回饋,2%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
54,台新銀行 @GoGo iCash御璽卡,首年免年費,1.50%,於國內消費，綁定Richart帳戶可再加碼1%,1.50%,於國外消費，綁定Richart帳戶可再加碼1%,,,,,,,,,,,,,,,,,,,,,,,,,
55,第一銀行 iLeo卡,首年免年費,1.50%, ,1.50%, ,,,,,,,,,,,,,,,,,,,,,,,,,
56,兆豐銀行 Gogoro 聯名卡,"NT$3,000 ",1.50%,符合條件於國內消費,1.50%,符合條件於國內消費,,,,,,,,,,,,,,,,,,,,,,,,,
57,台新銀行 遠傳friDay聯名卡,"NT$3,000 ",1.50%,於國內消費,1.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
58,兆豐銀行 Mega One 一卡通聯名卡,NT$0 ,1.50%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
59,台新銀行 亞洲無限卡,"NT$10,000 ",1.50%,代繳指定保費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
60,台新銀行 環球無限卡,"NT$30,000 ",1.50%,代繳指定保費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
61,台北富邦 IMPERIAL尊御世界卡,"NT$25,000 ",1.50%,於國內消費,0.80%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
62,凱基銀行 現金回饋鈦金卡 ,"NT$3,000 ",1.50%, ,0.70%,持卡未滿13個月享0.7%回饋；持現金回饋卡13個月起享1%回饋；持現金回饋卡25個月起享1.2%回饋；持現金回饋卡37個月起享1.5%回饋,,,,,,,,,,,,,,,,,,,,,,,,,
63,凱基銀行 現金回饋御璽卡 ,"NT$3,000 ",1.50%, ,0.70%,持卡未滿13個月享0.7%回饋；持現金回饋卡13個月起享1%回饋；持現金回饋卡25個月起享1.2%回饋；持現金回饋卡37個月起享1.5%回饋,,,,,,,,,,,,,,,,,,,,,,,,,
64,上海商銀 小小兵BeeDo分期卡,首年免年費,1.50%, ,0.60%, ,,,,,,,,,,,,,,,,,,,,,,,,,
65,玉山銀行 雙幣信用卡,首年免年費,1.50%,於國內消費,0.60%,於國外消費免收1.5%國外交易服務費,,,,,,,,,,,,,,,,,,,,,,,,,
66,彰化銀行 商旅御璽卡,"NT$2,000 ",1.50%,於國內消費,0.60%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
67,永豐銀行 夢行卡,"NT$3,000 ",1.50%, ,0.60%, ,,,,,,,,,,,,,,,,,,,,,,,,,
68,兆豐銀行 e秒刷鈦金卡,NT$0 ,1.50%,於國內消費,0.50%,全新卡友於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
